id	есть маркер?	текст
24	нет	Помада довольно стойкая,_отлично переживет перекус.
41	да	Поскольку кремовых румян у меня не было никаких,_я решила, что помаде быть
54	да	Благодаря достаточной пигментированности_хватит продукта надолго.
57	да	Сверху кремовые текстуры я всегда перекрываю пудрой,_поэтому яркости не боюсь
71	да	Популярная идея микробиома, косметики с про/пребиотиками не обошла меня стороной,_поэтому я не удержалась от покупки.
101	нет	Выпадает небольшой осадок._Всегда встряхиваю перед применением.
107	да	Обычно я использовала этот тоник в тандеме с кремом,_поэтому не могу сказать, что он как-то особенно повлиял на мою кожу.
136	да	зато есть ощущение, что присутствует муцин улитки,_потому что консистенция крема какая-то тягучая.
156	да	3. Не могу сказать, что биолин как-то подействовал на мое акне,_потому что сейчас у меня прыщей особо нет
206	нет	Не самый послушный,_может осыпаться под глаза. IMG
300	да	Я объяснял, что на Букинге написано наличие кухни и туалета в описании номера,_поэтому я на них рассчитываю.
392	нет	После октябрьской революции_монастырь официально был закрыт
419	нет	Правда, экскурсия по Неаполю была очень короткой,_мы увидели только самый центр города.
517	да	А именно этот снимок я оставляю над катом_потому что на Фликре он оказался самым популярным из сделанных в тот день.
563	нет	Машины на аламовской парковке стоят рассортированные по классам,_тебе просто говорят в каком секторе парковки класс, соответствующий твоему заказу,
606	нет	Никаких служителей нет,_оплачиваешь сам в автомате типа тех, что на парковках.
637	нет	Далеко углубляться по грунтовке не стали_очень уж пыльно.
716	нет	в любом случае, для меня не страшно,_я силикона в средствах для волос не боюсь).
767	нет	Пластик мягкий,_выдавливать средства очень легко.
769	да	Моя кожа нормальная, беспроблемная,_поэтому от этих уходовых средств ждала обещаного производителем увлажнения.
775	да	Сам крем очень плотный по текстуре,_поэтому так просто размазать его по лицу не получится.
802	нет	По характеристикам он точно такой же, как и дневной. Такой же плотный, точно так же я его наношу и эффект от него аналогичный._Честно говоря, я не увидела никакой разницы между дневным и ночным,
819	нет	Моя кожа не чувствительная_и даже знаменитую Чистую Линию с абрикосовыми косточками переносит легко.
822	да	В состав этого скраба входят также входят молотые абрикосовые косточки, но они очень мелкие,_поэтому кожу не травмируют.
928	нет	ну там город поменьше,_должно быть очевиднее где автобусы проходят.
990	нет	Но ничего не помогло_- срок давности - 3 года.
1028	нет	Стопилось безуспешно_все либо ехали мимо либо недалеко.
1283	нет	И вот я неслась высунув язык,_боясь опоздать, огибая скользкие подтеки на тротуарах и медлительных прохожих.
1453	нет	как человек предусмотрительный,_одна я в машинку не села.
1554	нет	Все это надо надо внимательно осматривать:_ человек может быть и в яме; и на крыше сарая.
1736	нет	А я, между прочим, совершенно спокойна_у меня ж все нужные телефоны записаны, я знаю куда бежать и что делать
1756	нет	Прошу прощения за качество,_я прилетела всего на полтора дня, без багажа и нормального фотоаппарата.
1925	нет	А в спину мне внимательно смотрят._Приходится остановиться.
2018	да	Мы просидели в самолете больше часа,_поскольку на борту обнаружили чей-то бесхозный чемодан.
2046	нет	Но что-то недодумали,_теперь желающим попасть на тротуар нужно идти по проезжей части.
2596	да	Сам диван из жесткого материала, о который очень круто точить когти._Поэтому приходится диван прятать под неинтересной коту хб-шкой.
2670	да	В Праге я первый год,_поэтому многие бытовые моменты еще не устаканились
2696	нет	Сутки лил дождь,_ковер еще не высох
2956	нет	Раз открыточки куплены,_их надо отправить.
3021	нет	Раз уж я в самом центре,_то немного кадров из дождливой предрождественской Праги.
3300	нет	Пока я столько лет упорно отказывался идти к стоматологу,_зуб у меня окончательно развалился.
3376	нет	Наверное, он выкинул этот "шедевр",_дома я таких пепельниц не помню.
3384	нет	Рвать не стала,_кто знает что за чудо такое без листочков, прямо из земли растущее?
3401	нет	Много собирать не стала,_вдруг не понравятся на вкус.
3738	нет	Зная ваши процессы в организме_вы можете быть уверены, что вы на верном пути
3787	нет	и оно защищает тело от физических нагрузок,_именно делая его сильнее, мышцы плотнее и выносливее.
3797	да	В первые месяцы в ногах будет много воды,_так как там самые крупные мышцы.
3801	нет	Многие паникуют и бросают занятия,_думая, что мышцы выросли.
3804	нет	Это вода может задерживаться на длительное время и жир медленно гореть._Запаситесь терпением, это со временем уйдёт.
3944	да	Моя помада – подарок за покупку,_поэтому дополнительной упаковки у нее не было.
3947	да	розочки и надписи на колпачке медленно, но верно стираются._Поэтому просто в сумке помаду лучше не носить.
3954	да	Ограничитель вроде бы есть, но в то же время свою функцию он выполняет плохо,_поэтому излишки помады я всегда убираю о горлышко.
4111	да	Посещение фитнес-центров требует больше времени и средств,_а потому этот вариант по душе не всем.
4368	нет	зная, как применять его правильно,_можно достичь результатов
4405	нет	Постепенная минимизация каких-то продуктов в рационе в этом плане гораздо эффективнее_- понемногу меняется само восприятие каких-то вкусов
4594	да	— свежие фрукты хорошо сочетаются со свежей зеленью,_поэтому зеленые смузи являются примером правильного сочетания
4646	да	Орехи, семечки и сухофрукты хорошо дружат друг с другом,_поэтому различные Raw-десерты — примеры правильных сочетаний.
4709	нет	Не стоит забывать и про регулярную пятиминутную разминку верхнего плечевого пояса и шеи,_она поможет справиться с напряжением.
4890	нет	Плюс к этому вы дополнительно нагружаете коленный сустав,_что со временем приведет к болезненности
4895	нет	после отталкивания старайтесь максимально быстро подтягивать голень толчковой ноги к ягодице._Это позволит как можно меньше находиться на опоре, что заставит увеличить вашу скорость.
4930	нет	все исключают сахар и молоко,_я тоже исключу!
5284	нет	Я убрала из окрашивания басму, оставив хну._Хотелось стать чуть посветлее, ярче, теплее, солнечнее.
5342	нет	Ты же обесцветилась, испортила волосы,_вот и терпи теперь, срезай и отращивай натуральный цвет
5347	да	Вы можете сказать мне что-то вроде: «Ты же обесцветилась, испортила волосы» и будете вкорне не правы)_Поскольку даже такие волосы имеют возможность «восстать из пепла, подобно прекрасному фениксу».
5462	нет	Но я стремлюсь добиться максимальной яркости и насыщенности цвета,_использую пигменты в чистом виде.
5414	нет	Кстати, аромат очень насыщенный,_первое время может надоедать своей резкостью.
5477	да	Консистенция спрея двухфазная,_поэтому перед применением нужно взболтать бутылку.
5660	нет	Широта их знаний, понимание фреймворков и языков программирования, делают их экспертами в вопросе нахождения разницы между программами работающими и программами качественными._Они умеют создавать и то и другое.
5790	нет	Откровенно говоря, «уязвимость» Zoom — это не самое страшное, что с такими сервисами происходило._В 2017 году проблема была обнаружена в браузерном расширении другого сервиса, где уязвимость позволяла выполнять в системе произвольный код.
5799	нет	это довольно распространенная практика, хотя с точки зрения безопасности явно не самая лучшая_— уж слишком много потенциальных дыр несет с собой такой веб-сервер.
5831	да	вам звонят с незнакомого номера._Соответственно, вы не знаете, кто звонит, откуда и с какой целью.
5875	нет	Другой важный момент serverless – это то, что клиентам можно давать доступ к райнтайму платформы,_это ведет к снижению задержек и увеличению надежности.
5973	нет	мы обучили модель на множестве звонков,_теперь она умеет отличать живого человека от записанного сообщения.
6044	нет	Регистрация номеров происходит в профиле internal,_на него и обратим внимание.
6143	нет	Тем не менее, на этот раз инженеры решили оставить свои эксперименты_и создали смартфон, выполненный в привычном для всех дизайне 2018 года.
7014	да	Пенится средне,_в связи с этим, приходится намыливать волосы дважды,
7338	нет	Успех проекта – дело не простое,_не удивительно, что индустрия и отдельные ее участники начинают подражать успешным командам.
7762	да	И не хотим, отчаянно не хотим повторения такого же в России._Потому что при масштабах России это будет на порядки более жестоким и кровавым.
8011	нет	Для индейцев островок никакой ценности не представлял_земли у них было немеряно
8311	нет	Нельзя, например, спокойно покурить в течение рабочего дня,_собьётся график.
8491	да	«Дождя» эти требования не коснутся,_поскольку он не получает финансирования из-за рубежа.
8584	да	Инвесторы в восторге,_ведь это увеличивает потенциальный доход на бумаги, оставшиеся в обращении.
8992	да	Вы не чувствуете страданий,_поскольку ваш фокус всегда почти вне
9133	да	Во второй раз обычно никто уже не падал,_потому что после такого тяжелого переживания следующее повторение все делали особо осторожно.
9146	да	Но она отказалась и бросила спорт._Потому что победил страх.
9309	да	вот эти две способности точно не конкурентные._Поскольку ими владеют ВСЕ!
9401	нет	Раскрывать не буду,_это самостоятельная тема.
9676	да	Сама косметика долго на этом креме не живёт,_поэтому я его перевела в вечерние.
9678	нет	хороший вариант на холодное время года_— он дает ощутимое увлажнение и питание.
9791	да	Отвергающий по определению - бессердечный негодяй и гадина,_потому что отказал нуждающемся в том, без чего он не проживет.
9983	да	Эта женщина была слишком замучена болезнями и страхом умереть,_поэтому она была готова на все.
10353	да	Люди с плохими границами вредят себе,_поэтому им особенно важно не прятать плохие границы за этикой.
10695	да	Будучи взрослым, такой человек не может признавать свою ответственность,_потому что это означает подставить себя под удар обвинений.
11222	да	Поскольку мама и папа - выпускники детского дома,_мы помогаем им наладить быт
11424	да	это приведёт к тому, что люди станут больше его использовать, легкомысленно выбрасывая,_поскольку будут уверены, что пластик быстро разложится без следа.
11483	да	такой пластик практически не деформируется,_поскольку не наносит физического ущерба экосистемам.
11522	да	Тогда это считалось нормой,_поскольку компьютеры и мобильные устройства были недоступны.
11962	нет	Больше дорог_— больше пробок.
11964	нет	Шире дороги в центр_— больше пробок в центре (и везде).
12111	да	Городские власти лопатой размахивают под камеры только перед выборами,_поэтому около Казанского не деревянная понтонная набережная, а говно десятилетиями.
12299	да	Очень сложно подобрать подходящее средство,_поэтому на полках пылятся разнообразные банки
12739	да	Деревня пока не туристическая, но у нее все впереди,_потому что она выиграла у Вальпараисо тендер на стоянки круизных судов.
12754	да	Купание в этих местах занятие экстремальное,_потому что берега Чили и Перу омывает холодное течение Гумбольта.
12778	да	Тут очень удобная бухта и расположение,_поэтому город раньше был очень богат
12843	да	Сильно затариться не имело смысла,_поскольку через границу не очень пропускают продукты соседней страны.
12921	да	Следующие 100 км до Рио-Гранде пролетели в легком волнении,_поэтому на появившийся слева по борту Атлантический океан особого внимания не обращали.
13096	да	Это обстоятельство добавляло всей затее некий налёт непредсказуемости,_поскольку в Турции я еще ни разу не брал машину в аренду.
13310	нет	Но отсюда попасть к ним невозможно_- скалы стоят практически вертикально.
14115	да	Трамваем я по Стамбулу уже ездил,_поэтому я просто включил зрительную память.
14239	да	Доломиты занимают обширный кусок на карте Италии,_поэтому я расскажу лишь об одном из мест, куда стоит отправиться